unique_id,reported_taxa,corrected_taxa
1,kew-2609691,Abies alba
1,kew-2615447,Acer campestre
1,kew-2616254,Acer platanoides
1,kew-2616276,Acer pseudoplatanus
1,kew-2619756,Aconitum vulparia
1,kew-2620577,Actaea spicata
1,gcc-156793,Adenostyles alliariae
1,gcc-157112,Adenostyles alpina
1,kew-387729,Agrostis capillaris
1,kew-5266,Ajuga genevensis
1,kew-5385,Ajuga reptans
1,tro-35103175,Amblystegium serpens
1,tro-35103313,Amblystegium varium
1,rjp-53,Amelanchier lamarckii
1,kew-2638385,Anemone montana
1,kew-2638482,Anemone nemorosa
1,kew-2639281,Angelica sylvestris
1,tro-35108776,Anomodon longifolius
1,kew-299496,Anthericum liliago
1,kew-394021,Anthoxanthum odoratum
1,kew-2641868,Anthriscus sylvestris
1,rjp-19332,Aremonia agrimonoides
1,kew-2651846,Aristolochia rotunda
1,rjp-891,Aruncus dioicus
1,kew-2654312,Asarum europaeum
1,tro-26602551,Asplenium trichomanes
1,kew-2663972,Astrantia major
1,kew-2663985,Astrantia minor
1,tro-26600065,Athyrium filix-femina
1,tro-35184827,Barbilophozia barbata
1,tro-35184831,Barbilophozia floerkei
1,tro-35184836,Barbilophozia lycopodioides
1,tro-35184724,Bazzania trilobata
1,kew-21582,Betula pendula
1,kew-21636,Betula pubescens
1,tro-26614187,Blechnum spicant
1,tro-35184839,Blepharostoma trichophyllum
1,kew-400100,Brachypodium sylvaticum
1,tro-35114682,Brachythecium mildeanum
1,tro-35114730,Brachythecium oedipodium
1,tro-35114879,Brachythecium reflexum
1,tro-35115004,Brachythecium salebrosum
1,tro-35115099,Brachythecium starkii
1,tro-35214901,Bucklandiella heterosticha
1,kew-402396,Calamagrostis arundinacea
1,kew-403476,Calamagrostis varia
1,kew-403510,Calamagrostis villosa
1,kew-2692970,Calluna vulgaris
1,kew-365444,Campanula patula
1,kew-365512,Campanula persicifolia
1,kew-365813,Campanula rapunculus
1,tro-35156036,Campylopus flexuosus
1,tro-35156181,Campylopus introflexus
1,kew-2699536,Cardamine bulbifera
1,kew-2699582,Cardamine chelidonia
1,kew-2699678,Cardamine enneaphyllos
1,kew-2699795,Cardamine glanduligera
1,kew-2700520,Cardamine trifolia
1,kew-225358,Carex caryophyllea
1,kew-225999,Carex digitata
1,kew-226565,Carex flacca
1,kew-229422,Carex pallescens
1,kew-229622,Carex pendula
1,kew-229766,Carex pilulifera
1,kew-231389,Carex sylvatica
1,kew-34291,Carpinus betulus
1,kew-35042,Castanea sativa
1,kew-36658,Cephalanthera longifolia
1,tro-35184890,Cephalozia bicuspidata
1,tro-35184942,Cephaloziella divaricata
1,tro-35202792,Chiloscyphus latifolius
1,tro-35185049,Chiloscyphus polyanthos
1,kew-2726964,Clematis vitalba
1,kew-43704,Clinopodium vulgare
1,kew-303076,Convallaria majalis
1,kew-47432,Cornus mas
1,kew-47524,Cornus suecica
1,kew-47841,Corylus avellana
1,rjp-14527,Crataegus ferox
1,rjp-477,Crataegus laevigata
1,rjp-49,Crataegus monogyna
1,gcc-110489,Crepis leontodontoides
1,kew-51735,Cruciata glabra
1,kew-2749819,Cyclamen purpurascens
1,ild-8778,Cytisus scoparius
1,kew-406640,Dactylis glomerata
1,kew-55447,Dactylorhiza majalis
1,kew-2757056,Daphne laureola
1,kew-2757105,Daphne mezereum
1,kew-407579,Deschampsia cespitosa
1,kew-407693,Deschampsia flexuosa
1,tro-35121366,Dicranodontium denudatum
1,tro-35122385,Dicranum fuscescens
1,tro-35122406,Dicranum fuscescens var. flexicaule
1,tro-35123738,Dicranum majus
1,tro-35123778,Dicranum montanum
1,tro-35123971,Dicranum polysetum
1,tro-35124149,Dicranum scoparium
1,kew-2768038,Digitalis lutea
1,kew-239990,Dioscorea communis
1,gcc-142968,Doronicum austriacum
1,tro-26608733,Dryopteris affinis
1,tro-26600144,Dryopteris carthusiana
1,tro-26601334,Dryopteris dilatata
1,tro-26602214,Dryopteris filix-mas
1,kew-2788473,Empetrum nigrum
1,kew-2790112,Epilobium angustifolium
1,kew-70185,Epipactis helleborine
1,kew-70278,Epipactis microphylla
1,kew-70283,Epipactis muelleri
1,kew-2792636,Erica arborea
1,kew-79427,Euphorbia dulcis
1,tro-35135984,Eurhynchium pulchellum
1,tro-35136095,Eurhynchium striatum
1,kew-83891,Fagus sylvatica
1,kew-414433,Festuca altissima
1,kew-415363,Festuca heterophylla
1,kew-415853,Festuca ovina
1,kew-416502,Festuca rubra
1,rjp-23,Fragaria vesca
1,kew-2814031,Frangula alnus
1,kew-369664,Fraxinus excelsior
1,kew-369914,Fraxinus ornus
1,kew-85436,Galeopsis speciosa
1,kew-85676,Galium aparine
1,kew-87028,Galium odoratum
1,kew-87355,Galium rotundifolium
1,kew-2819987,Gentiana asclepiadea
1,kew-2823970,Geranium robertianum
1,rjp-573,Geum urbanum
1,kew-91902,Goodyera repens
1,tro-26600166,Gymnocarpium dryopteris
1,tro-26602286,Gymnocarpium robertianum
1,kew-96659,Hedera helix
1,kew-2844780,Helleborus niger
1,tro-35168891,Herzogiella seligeri
1,gcc-27072,Hieracium murorum
1,kew-419058,Holcus mollis
1,gcc-26056,Homogyne alpina
1,kew-419180,Hordelymus europaeus
1,tro-26603630,Huperzia selago
1,tro-35164501,Hylocomium splendens
1,kew-2858676,Hypericum perforatum
1,tro-35104432,Hypnum cupressiforme
1,tro-35183842,Hypnum jutlandicum
1,tro-35118684,Hypnum pallescens
1,tro-35119219,Hypnum recurvatum
1,kew-2860379,Ilex aquifolium
1,tro-35185283,Jamesoniella autumnalis
1,kew-2332579,Juniperus communis
1,ild-8862,Laburnum alpinum
1,gcc-116089,Lactuca muralis
1,kew-107452,Lamium galeobdolon
1,tro-35185367,Lepidozia reptans
1,tro-35130315,Leucobryum glaucum
1,kew-279985,Lilium martagon
1,kew-2337127,Linnaea borealis
1,kew-2340177,Lonicera caprifolium
1,kew-2339845,Lonicera nigra
1,kew-2357110,Lonicera periclymenum
1,kew-2343075,Lonicera xylosteum
1,tro-35185375,Lophocolea bidentata
1,tro-35185379,Lophocolea heterophylla
1,tro-35185572,Lophozia ventricosa
1,kew-316212,Luzula campestris
1,kew-316366,Luzula forsteri
1,kew-316452,Luzula luzulina
1,kew-316453,Luzula luzuloides
1,kew-316553,Luzula nivea
1,kew-316622,Luzula pilosa
1,kew-316747,Luzula sylvatica
1,kew-2896575,Lysimachia europaea
1,kew-2493029,Lysimachia nemorum
1,kew-281331,Maianthemum bifolium
1,rjp-71,Malus sylvestris
1,tro-35185603,Marsupella emarginata
1,tro-29202417,Melampyrum arvense
1,kew-2507150,Melampyrum cristatum
1,tro-29200344,Melampyrum pratense
1,kew-2507238,Melampyrum sylvaticum
1,kew-423858,Melica uniflora
1,kew-125768,Mercurialis perennis
1,rjp-51,Mespilus germanica
1,kew-424434,Milium effusum
1,kew-2369298,Moehringia trinervia
1,kew-424761,Molinia caerulea
1,kew-2372112,Monotropa hypopitys
1,kew-2358257,Myosotis sylvatica
1,kew-134197,Neottia cordata
1,kew-134261,Neottia nidus-avis
1,kew-2387708,Orthilia secunda
1,tro-35172703,Orthodicranum montanum
1,tro-35172758,Orthodontium lineare
1,kew-2394737,Oxalis acetosella
1,tro-35182359,Paraleucobryum longifolium
1,kew-283886,Paris quadrifolia
1,gcc-79731,Petasites albus
1,kew-2403688,Peucedanum ostruthium
1,kew-433846,Phleum pratense
1,kew-354623,Phyteuma spicatum
1,kew-2562738,Picea abies
1,gcc-42787,Pilosella portae
1,kew-2562349,Pinus nigra
1,kew-2562572,Pinus pinaster
1,kew-2562165,Pinus strobus
1,kew-2562297,Pinus sylvestris
1,tro-35185323,Plagiochila asplenioides
1,tro-35109925,Plagiothecium curvifolium
1,tro-35109936,Plagiothecium denticulatum
1,tro-35124470,Plagiothecium laetum
1,tro-35129834,Plagiothecium undulatum
1,kew-157076,Platanthera chlorantha
1,tro-35129877,Platygyrium repens
1,tro-35124816,Pleurozium schreberi
1,tro-35119556,Pogonatum aloides
1,tro-35124885,Pohlia nutans
1,kew-284150,Polygonatum verticillatum
1,tro-26600283,Polypodium vulgare
1,tro-35169089,Polytrichastrum formosum
1,tro-35125360,Polytrichum commune
1,rjp-1192,Potentilla erecta
1,rjp-2002,Potentilla micrantha
1,gcc-95344,Prenanthes purpurea
1,kew-2564876,Primula elatior
1,rjp-383,Prunus avium
1,rjp-256,Prunus serotina
1,rjp-43,Prunus spinosa
1,kew-2556763,Pseudotsuga menziesii
1,tro-35185906,Ptilidium ciliare
1,tro-35185907,Ptilidium pulcherrimum
1,tro-35144023,Ptilium crista-castrensis
1,kew-2410543,Pyrola minor
1,rjp-1044,Pyrus pyraster
1,kew-172055,Quercus cerris
1,kew-174374,Quercus petraea
1,kew-174591,Quercus pubescens
1,kew-174750,Quercus robur
1,kew-174902,Quercus rubra
1,kew-2523789,Ranunculus lanuginosus
1,kew-2526558,Ranunculus monophyllus
1,tro-35100207,Rhizomnium punctatum
1,kew-2418394,Rhododendron ponticum
1,tro-35148984,Rhytidiadelphus loreus
1,tro-35148996,Rhytidiadelphus triquetrus
1,rjp-535,Rosa arvensis
1,rjp-8976,Rosa pendulina
1,rjp-8,Rubus caesius
1,rjp-310,Rubus idaeus
1,rjp-1254,Rubus proiectus
1,rjp-7,Rubus saxatilis
1,rjp-12,Rubus ulmifolius
1,rjp-13,Rubus vestitus
1,kew-2424198,Rumex acetosa
1,kew-286704,Ruscus aculeatus
1,kew-2486552,Sambucus racemosa
1,kew-2480274,Sanicula europaea
1,tro-35149101,Sanionia uncinata
1,kew-2584429,Saxifraga cuneifolia
1,tro-35186122,Scapania nemorea
1,kew-2482941,Sedum cepaea
1,gcc-6486,Senecio nemorensis
1,gcc-106886,Senecio ovatus
1,kew-441954,Sesleria albicans
1,kew-2485564,Silene flos-cuculi
1,kew-2488103,Silene italica
1,kew-2487815,Silene viridiflora
1,kew-2599158,Soldanella carpatica
1,gcc-44550,Solidago virgaurea
1,rjp-258,Sorbus aria
1,rjp-68,Sorbus aucuparia
1,rjp-989,Sorbus domestica
1,rjp-595,Sorbus torminalis
1,tro-35167378,Sphagnum girgensohnii
1,tro-35175061,Sphagnum quinquefarium
1,kew-195388,Stachys officinalis
1,kew-2482625,Stellaria nemorum
1,kew-287538,Streptopus amplexifolius
1,tro-35104939,Tetraphis pellucida
1,kew-203387,Teucrium scorodonia
1,kew-2513374,Thalictrum aquilegiifolium
1,tro-26602626,Thelypteris phegopteris
1,kew-2457648,Vaccinium myrtillus
1,kew-2457314,Vaccinium vitis-idaea
1,kew-291244,Veratrum album
1,kew-212527,Verbena officinalis
1,kew-2453651,Veronica chamaedrys
1,kew-2463214,Veronica montana
1,kew-2463283,Veronica officinalis
1,kew-2461912,Veronica urticifolia
1,kew-2463476,Viola alba
1,kew-2464036,Viola biflora
1,kew-2459312,Viola odorata
1,kew-2459911,Viola reichenbachiana
1,kew-2459647,Viola riviniana
9,156.001.002,Acanthus balcanicus
9,156.001.001,Acanthus mollis
9,156.001.999,Acanthus sp.
9,156.001.003,Acanthus spinosus
9,156.002.001,Justicia adhatoda
9,095.001.003,Acer campestre
9,095.001.010,Acer granatense
9,095.001.006,Acer heldreichii
9,095.001.011,Acer hyrcanum
9,095.001.002,Acer lobelii
9,095.001.013,Acer monspessulanum
9,095.001.015,Acer negundo
9,095.001.009,Acer obtusatum
9,095.001.008,Acer opalus
9,095.001.001,Acer platanoides
9,095.001.005,Acer pseudoplatanus
9,095.001.014,Acer sempervirens
9,095.001.999,Acer sp.
9,095.001.012,Acer stevenii
9,095.001.004,Acer tataricum
9,095.001.007,Acer trautvetteri
9,009.006.001,Adiantum capillus-veneris
9,009.006.003,Adiantum hispidulum
9,009.006.002,Adiantum raddianum
9,009.006.999,Adiantum sp.
