Dataset,Site name,LTER ID,Country,Latitude,Longitude,Taxonomic group,Study length (years),Link to the data,Notes,Included_Excluded,Unique_ID,Data_owner,Data_title,Data_description,Owner_email,Reason_for_exclusion
1,Brasschaat - De Inslag - Belgium,https://deims.org/68e6a8e5-d6d2-4c8c-91c4-10e7f87ac556,BE,51.314,4.517,Plants,17,https://deims.org/dataset/d2880df0-d272-433b-8fce-ead75e15bd29,,Included,1,Verstraeten A.,"LTER Brasschaat, Belgium, vegetation data 1996-2017","Vegetation survey data of the 2 ha Scots pine (Pinus sylvestris L.) plantation at the LTER site Brasschaat (LTER_EU_BE_001), Belgium. The percentage cover of vascular plant and moss species was recorded on 10 x 10 m (100 m²) permanently marked subplots between the years 1996 and 2017. Abundance from 0 - 100%",Arne.Verstraeten@inbo.be,
2,Sonian Forest - Belgium,https://deims.org/0fa0d44f-5314-405f-a647-a7dda423031f,BE,50.747,4.4,Plants,17,http://doi.org/10.23728/b2share.26d9c4e64dfe486c8d2beecedacc2f0d,,Included,9,Verstraeten A.,Ground vegetation data from the ICP Forests Level II plot at Sonian Forest - Belgium (https://deims.org/0fa0d44f-5314-405f-a647-a7dda423031f) for the years 1996-2012,Ground vegetation data from the ICP Forests Level II plot at Sonian Forest - Belgium (https://deims.org/0fa0d44f-5314-405f-a647-a7dda423031f) for the years 1996-2012,peter.haase@senckenberg.de,
3,Gontrode - Aelmoeseneie Forest - Belgium,https://deims.org/4a469a86-868b-4160-b72e-10a1b4e09356,BE,50.981,3.8,Plants,17,https://deims.org/dataset/b3998b9b-7f61-495e-b489-dd1dcb73fba9,,Included,2,"Verstraeten A., Neirynck J.",Ground vegetation data ICP Forests Level II plot Gontrode,"Vegetation survey data on permanently marked subplots (100 m²) of the LTER site Gontrode (BE03) between the years 1996 and 2017.  All vascular plant and terrestrial moss species occurring at the subplots were recorded and their percentage cover was estimated. Woody species were assigned to three different vegetation strata depending on their height: herb layer (< 50 cm), shrub layer (≥ 50 cm and < 5 m) and tree layer (≥ 5 m).Abundance from 0 - 100%",Arne.Verstraeten@inbo.be,
4,Scheldt Estuary and its alluvial plains – Belgium. Dataset was restricted to the lower Sea Scheldt - Belgium,https://deims.org/f64f5541-c6a5-45ff-a996-bb4e799d6736,BE,51.3,4.285,Birds,27,http://doi.org/10.23728/b2share.8d47a255ba5749e3ac169527e22f0068,,Included,3,Van Ryckegem G.,"Bird data from Lower Seascheldt - Belgium, 1991-2017",Bird data from Lower Seascheldt - Belgium (https://deims.org/f64f5541-c6a5-45ff-a996-bb4e799d6736) for the years 1991-2017. The Scheldt Estuary and its alluvial plains – Belgium. Dataset was restricted to the lower Sea Scheldt - Belgium,peter.haase@senckenberg.de,
5,Scheldt Estuary and its alluvial plains – Belgium. Dataset was restricted to the lower Sea Scheldt - Belgium,https://deims.org/f64f5541-c6a5-45ff-a996-bb4e799d6736,BE,51.358,4.247,Aquatic invert.,17,http://doi.org/10.23728/b2share.e55993a622a74d06a0f4e44617a46056,We computed the mean occurrence of each species in each year by summing the occurrences and dividing by the number of survey occasions. ,Included,10,Van Ryckegem G.,"Aquatic invertebrate data from Lower Seascheldt - Belgium, 1999-2015",Aquatic invertebrate data from Lower Seascheldt - Belgium (https://deims.org/f64f5541-c6a5-45ff-a996-bb4e799d6736) for the years 1999-2015,peter.haase@senckenberg.de,
6,National Park Hoge Kempen - Belgium,https://deims.org/dae8cf66-bdca-47db-b595-7bf6c1762e00,BE,50.931,5.626,Terrestrial invert.,34,http://doi.org/10.23728/b2share.562cd87f87ec4ea381ef8b01a9d6ac8a,"We used Coleoptera data from location UTM FS8546, because it was the location with more temporally regular surveys.",Included,11,Creveceour L.,"Beetle data, National Park Hoge Kempen - Belgium, 1980-2013",Beetle data from National Park Hoge Kempen - Belgium (https://deims.org/dae8cf66-bdca-47db-b595-7bf6c1762e00) for the years 1980-2013,peter.haase@senckenberg.de,
7,National Park Hoge Kempen - Belgium,https://deims.org/dae8cf66-bdca-47db-b595-7bf6c1762e00,BE,50.931,5.626,Terrestrial invert.,28,http://doi.org/10.23728/b2share.b90e872bfeef4cef8bc1af14a0c99637,"We used Arachnida data from location UTM FS8546, because it was the location with more temporally regular surveys.",Included,12,Janssen M,"Spider data, National Park Hoge Kempen - Belgium, 1986-2013",Spider data from the National Park Hoge Kempen - Belgium (https://deims.org/dae8cf66-bdca-47db-b595-7bf6c1762e00) for the years 1986-2013,peter.haase@senckenberg.de,
8,Belgian coastal waters.,Non LTER site,BE,51.185,2.701,Aquatic invert.,38,https://doi.org/10.14284/201 and https://doi.org/10.14284/202,,Included,4,Van Hoey G.,Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea from 2001 on,"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2016): Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea from 2001 on",gert.vanhoey@ilvo.vlaanderen.be,
9,Belgian coastal waters.,Non LTER site,BE,51.433,2.808,Aquatic invert.,32,https://doi.org/10.14284/201 and https://doi.org/10.14284/202,,Included,5,Van Hoey G.,Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea between 1979 and 1999,"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2016): Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea between 1979 and 1999",gert.vanhoey@ilvo.vlaanderen.be,
10,Belgian coastal waters.,Non LTER site,BE,51.377,3.22,Aquatic invert.,38,https://doi.org/10.14284/201 and https://doi.org/10.14284/202,,Excluded,,,,,,Duplicate of dataset 8 and 9
