"","STATION","Sampling.date","Day","Month","Year","species","abundance"
"1",2,1997-05-14,14,5,1997,"Acartia clausi",357.70346763069
"2",3,1997-05-14,14,5,1997,"Acartia clausi",1973.60350741691
"3",4,1997-05-15,15,5,1997,"Acartia clausi",708.557190687534
"4",2,1998-05-01,1,5,1998,"Acartia clausi",1.29752173348904
"5",3,1998-05-01,1,5,1998,"Acartia clausi",2.59504346697807
"6",4,1998-05-01,1,5,1998,"Acartia clausi",0
"7",2,1999-05-07,7,5,1999,"Acartia clausi",13.2082029892249
"8",3,1999-05-07,7,5,1999,"Acartia clausi",23.1803430690774
"9",4,1999-05-07,7,5,1999,"Acartia clausi",1507.51947816633
"10",2,2000-05-25,25,5,2000,"Acartia clausi",1.85185185185185
"11",3,2000-05-25,25,5,2000,"Acartia clausi",8.28500414250207
"12",4,2000-05-25,25,5,2000,"Acartia clausi",14209.3046725199
"13",2,2001-05-28,28,5,2001,"Acartia clausi",12.652876947896
"14",3,2001-05-28,28,5,2001,"Acartia clausi",59.0064099887832
"15",4,2001-05-28,28,5,2001,"Acartia clausi",201.652666750689
"16",2,2002-04-22,22,4,2002,"Acartia clausi",5.1928433177548
"17",3,2002-04-22,22,4,2002,"Acartia clausi",0
"18",4,2002-04-22,22,4,2002,"Acartia clausi",1694.39602809909
"19",4,2014-05-21,21,5,2014,"Acartia clausi",585.858585858586
"20",2,2015-05-27,27,5,2015,"Acartia clausi",289.91452991453
"21",3,2015-05-27,27,5,2015,"Acartia clausi",403.944773175542
"22",4,2015-05-27,27,5,2015,"Acartia clausi",891.324200913242
"23",2,2016-04-29,29,4,2016,"Acartia clausi",5.272030651341
"24",3,2016-04-29,29,4,2016,"Acartia clausi",55.2601681436037
"25",4,2016-04-29,29,4,2016,"Acartia clausi",93.0817610062893
"26",2,1997-05-14,14,5,1997,"Paracartia latisetosa",0
"27",3,1997-05-14,14,5,1997,"Paracartia latisetosa",0
"28",4,1997-05-15,15,5,1997,"Paracartia latisetosa",0
"29",2,1998-05-01,1,5,1998,"Paracartia latisetosa",37
"30",3,1998-05-01,1,5,1998,"Paracartia latisetosa",37.5
"31",4,1998-05-01,1,5,1998,"Paracartia latisetosa",38
"32",2,1999-05-07,7,5,1999,"Paracartia latisetosa",0
"33",3,1999-05-07,7,5,1999,"Paracartia latisetosa",0
"34",4,1999-05-07,7,5,1999,"Paracartia latisetosa",0
"35",2,2000-05-25,25,5,2000,"Paracartia latisetosa",0
"36",3,2000-05-25,25,5,2000,"Paracartia latisetosa",0
"37",4,2000-05-25,25,5,2000,"Paracartia latisetosa",0
"38",2,2001-05-28,28,5,2001,"Paracartia latisetosa",0
"39",3,2001-05-28,28,5,2001,"Paracartia latisetosa",0
"40",4,2001-05-28,28,5,2001,"Paracartia latisetosa",0
"41",2,2002-04-22,22,4,2002,"Paracartia latisetosa",0
"42",3,2002-04-22,22,4,2002,"Paracartia latisetosa",0
"43",4,2002-04-22,22,4,2002,"Paracartia latisetosa",0
"44",4,2014-05-21,21,5,2014,"Paracartia latisetosa",0
"45",2,2015-05-27,27,5,2015,"Paracartia latisetosa",0
"46",3,2015-05-27,27,5,2015,"Paracartia latisetosa",0
"47",4,2015-05-27,27,5,2015,"Paracartia latisetosa",0
"48",2,2016-04-29,29,4,2016,"Paracartia latisetosa",0
"49",3,2016-04-29,29,4,2016,"Paracartia latisetosa",0.16359918200409
"50",4,2016-04-29,29,4,2016,"Paracartia latisetosa",0
