LCODE,SITECODE,,SDATE,SECTION,FIELDNAME,VALUE,BROODED,,,,,,,
1,T01,,10-Apr-93,9,2,2,,,1993,4,10,,49,Abundance
1,T05,,14-Apr-93,12,2,1,,,1993,4,14,,49,Abundance
1,T05,,15-Apr-93,9,2,1,,,1993,4,15,,49,Abundance
1,T06,,20-Apr-93,7,2,3,,,1993,4,20,,49,Abundance
1,T06,,20-Apr-93,2,2,1,,,1993,4,20,,49,Abundance
1,T06,,20-Apr-93,9,2,1,,,1993,4,20,,49,Abundance
1,T06,,20-Apr-93,10,2,2,,,1993,4,20,,49,Abundance
1,T06,,20-Apr-93,11,2,1,,,1993,4,20,,49,Abundance
1,T01,,21-Apr-93,3,2,1,,,1993,4,21,,49,Abundance
1,T01,,21-Apr-93,8,2,1,,,1993,4,21,,49,Abundance
1,T01,,21-Apr-93,9,2,4,,,1993,4,21,,49,Abundance
1,T01,,21-Apr-93,11,2,1,,,1993,4,21,,49,Abundance
1,T06,,27-Apr-93,1,2,1,,,1993,4,27,,49,Abundance
1,T06,,27-Apr-93,10,2,1,,,1993,4,27,,49,Abundance
1,T06,,27-Apr-93,12,2,3,,,1993,4,27,,49,Abundance
1,T05,,28-Apr-93,7,2,1,,,1993,4,28,,49,Abundance
1,T08,,29-Apr-93,9,2,1,,,1993,4,29,,49,Abundance
2,T04,,29-Apr-93,1,2,1,,,1993,4,29,,49,Abundance
2,T04,,29-Apr-93,4,2,1,,,1993,4,29,,49,Abundance
1,T05,,29-Apr-93,12,2,3,,,1993,4,29,,49,Abundance
1,T01,,30-Apr-93,3,2,1,,,1993,4,30,,49,Abundance
1,T01,,30-Apr-93,4,2,3,,,1993,4,30,,49,Abundance
1,T01,,30-Apr-93,6,2,1,,,1993,4,30,,49,Abundance
1,T01,,30-Apr-93,7,2,1,,,1993,4,30,,49,Abundance
1,T01,,30-Apr-93,8,2,2,,,1993,4,30,,49,Abundance
1,T01,,30-Apr-93,9,2,4,,,1993,4,30,,49,Abundance
1,T05,,06-May-93,12,2,1,,,1993,5,6,,49,Abundance
1,T05,,06-May-93,13,2,1,,,1993,5,6,,49,Abundance
1,T01,,06-May-93,2,2,3,,,1993,5,6,,49,Abundance
1,T01,,06-May-93,4,2,1,,,1993,5,6,,49,Abundance
1,T01,,06-May-93,5,2,1,,,1993,5,6,,49,Abundance
1,T01,,06-May-93,6,2,1,,,1993,5,6,,49,Abundance
1,T01,,06-May-93,7,2,2,,,1993,5,6,,49,Abundance
1,T01,,06-May-93,8,2,2,,,1993,5,6,,49,Abundance
1,T08,,07-May-93,6,2,2,,,1993,5,7,,49,Abundance
1,T08,,07-May-93,2,2,1,,,1993,5,7,,49,Abundance
1,T03,,07-May-93,8,2,1,,,1993,5,7,,49,Abundance
1,T03,,07-May-93,9,2,1,,,1993,5,7,,49,Abundance
1,T06,,10-May-93,1,2,2,,,1993,5,10,,49,Abundance
1,T06,,10-May-93,10,2,2,,,1993,5,10,,49,Abundance
1,T05,,13-May-93,13,2,1,,,1993,5,13,,49,Abundance
1,T05,,19-May-93,8,2,1,,,1993,5,19,,49,Abundance
1,T05,,19-May-93,10,2,1,,,1993,5,19,,49,Abundance
1,T08,,21-May-93,4,2,1,,,1993,5,21,,49,Abundance
1,T08,,21-May-93,6,2,1,,,1993,5,21,,49,Abundance
1,T08,,21-May-93,11,2,1,,,1993,5,21,,49,Abundance
1,T01,,21-May-93,4,2,3,,,1993,5,21,,49,Abundance
1,T06,,24-May-93,12,2,1,,,1993,5,24,,49,Abundance
1,T01,,15-Jun-93,4,2,1,,,1993,6,15,,49,Abundance
1,T08,,02-Jul-93,2,2,2,,,1993,7,2,,49,Abundance
1,T08,,02-Jul-93,4,2,1,,,1993,7,2,,49,Abundance
1,T05,,06-Jul-93,3,2,2,,,1993,7,6,,49,Abundance
1,T05,,06-Jul-93,10,2,1,,,1993,7,6,,49,Abundance
1,T08,,08-Jul-93,2,2,1,,,1993,7,8,,49,Abundance
1,T05,,12-Jul-93,3,2,2,,,1993,7,12,,49,Abundance
