"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T01","01",10-APR-93,14,15,"SJC","1",13.4,100,2,2
"T05","01",14-APR-93,13,0,"KT","1",11,80,2,2
"T05","01",15-APR-93,11,45,"KT","1",13,100,2,3
"T06","01",20-APR-93,11,35,"JB","4",19,100,5,3
"T01","01",21-APR-93,14,45,"SJC","1",15.5,100,4,3
"T06","01",27-APR-93,14,20,"JEB","4",16.4,100,4,4
"T04","01",27-APR-93,12,30,"JKA","1",17,90,3,4
"T05","01",28-APR-93,10,30,"KT","1",15,100,5,4
"T04","02",29-APR-93,12,30,"IHF","1",18,100,2,5
"T05","01",29-APR-93,12,45,"KT","1",17,100,3,5
"T08","01",29-APR-93,12,35,"MDM","1",16,100,3,5
"T03","01",30-APR-93,14,45,"RA","1",18,90,1,5
"T04","01",30-APR-93,12,10,"TJW","2",18,100,3,5
"T01","01",30-APR-93,15,30,"SJC","1",18,100,1,5
"T01","01",06-MAY-93,10,55,"SJC","1",13.4,100,4,6
"T05","01",06-MAY-93,12,30,"KT","1",14,100,4,6
"T04","02",07-MAY-93,11,30,"IHF","1",16,100,1,6
"T08","01",07-MAY-93,15,10,"MDM","1",15,100,5,6
"T03","01",07-MAY-93,10,50,"HDN","2",15.5,90,4,6
"T06","01",10-MAY-93,11,55,"JEB","4",19,90,1,6
"T05","01",13-MAY-93,11,30,"KT","1",15,40,2,7
"T01","01",14-MAY-93,15,0,"SJC","1",14,80,5,7
"T03","01",15-MAY-93,13,45,"RA","1",18,60,1,7
"T06","01",18-MAY-93,10,45,"AMR","3",14,100,3,7
"T04","02",19-MAY-93,15,0,"IHF","1",17,100,1,7
"T05","01",19-MAY-93,11,15,"KT","1",14,100,3,7
"T04","02",20-MAY-93,15,0,"IHF","1",16,100,2,8
"T04","01",20-MAY-93,12,45,"ALG","3",15,30,6,8
"T08","01",21-MAY-93,14,30,"CAW","2",16,100,4,8
"T03","01",21-MAY-93,13,45,"RA","1",16,50,6,8
"T01","01",21-MAY-93,14,50,"SJC","1",15.5,70,2,8
"T05","01",21-MAY-93,11,30,"KT","1",15,100,5,8
"T06","01",24-MAY-93,14,43,"JEB","4",22,100,4,8
"T07","01",25-MAY-93,10,15,"AB","1",19,60,3,8
"T05","01",27-MAY-93,12,0,"KT","1",17,80,3,9
"T03","01",29-MAY-93,15,10,"HDN","2",15,60,5,9
"T01","01",01-JUN-93,13,45,"SJC","1",18.2,30,2,9
"T06","01",01-JUN-93,14,50,"JEB","4",21,50,2,9
"T08","01",01-JUN-93,15,0,"MDM","1",18.5,60,2,9
"T04","01",02-JUN-93,13,0,"ALG","3",16,30,5,9
"T01","01",05-JUN-93,10,50,"SJC","1",20.5,100,1,10
"T05","01",07-JUN-93,13,0,"KT","1",21,100,3,10
"T08","01",07-JUN-93,13,15,"CAW","2",22,100,3,10
"T04","02",08-JUN-93,12,0,"IHF","1",21,100,1,10
"T06","01",08-JUN-93,11,35,"JEB","4",24,100,1,10
"T07","01",08-JUN-93,11,15,"AB","1",21,90,9,10
"T04","01",09-JUN-93,12,0,"TJW","2",20,20,6,10
"T03","01",09-JUN-93,11,35,"RA","1",20,10,1,10
"T04","02",10-JUN-93,14,0,"IHF","1",21,100,2,11
"T05","01",15-JUN-93,12,0,"KT","1",18,80,3,11
"T06","01",15-JUN-93,11,45,"JEB","4",16,100,1,11
"T01","01",15-JUN-93,15,0,"SJC","1",19.3,100,3,11
